method,density,top1,params,param_ratio,encode_seconds
bn_scale,1.0,0.7742,25557032,1.0,0.0
bn_scale,0.949947,0.2042,24593784,0.9623098644631348,6.46
bn_scale,0.899894,0.0132,23621518,0.9242668710513803,12.73
bn_scale,0.849974,0.0028,22588880,0.8838616315071327,18.78
bn_scale,0.799921,0.002,21514466,0.8418217733577201,24.78
bn_scale,0.749868,0.0018,20437319,0.7996749779082328,30.71
bn_scale,0.699947,0.0014,19264293,0.7537766122451152,36.51
bn_scale,0.649894,0.0012,18058642,0.7066016898988897,41.95
bn_scale,0.599974,0.0012,16843000,0.6590358379642832,47.46
bn_scale,0.549921,0.0004,15577639,0.6095245723368817,52.81
bn_scale,0.499868,0.0006,14321271,0.5603651863800148,57.81
bn_scale,0.449947,0.0008,13039739,0.5102211790477079,62.71
bn_scale,0.399894,0.0026,11765271,0.46035357313791364,67.45
bn_scale,0.349974,0.0006,10602842,0.41486984873673904,72.07
bn_scale,0.299921,0.0006,9507963,0.3720292325024283,76.63
