method,density,top1,params,param_ratio,encode_seconds
hope_exact,1.0,0.7742,25557032,1.0,0.0
hope_exact,0.862685,0.6844,21084738,0.8250073013173047,0.43
hope_exact,0.862685,0.6844,21084738,0.8250073013173047,0.43
hope_exact,0.727092,0.5722,16622146,0.6503942241806482,0.46
hope_exact,0.727092,0.5722,16622146,0.6503942241806482,0.46
hope_exact,0.727092,0.5722,16622146,0.6503942241806482,0.46
hope_exact,0.659296,0.4668,15504962,0.6066808540209208,0.49
hope_exact,0.591499,0.3908,14387778,0.5629674838611932,0.51
hope_exact,0.591499,0.3908,14387778,0.5629674838611932,0.51
hope_exact,0.52357,0.2902,13268928,0.5191889261632572,0.55
hope_exact,0.455773,0.2276,12151744,0.4754755560035297,0.57
hope_exact,0.387844,0.1968,11033150,0.43170701511818743,0.61
hope_exact,0.387844,0.1968,11033150,0.43170701511818743,0.61
hope_exact,0.349974,0.1264,9236151,0.36139372521817087,4.63
hope_exact,0.299921,0.0592,7455791,0.29173148900858287,9.18
