method,density,top1,params,param_ratio,encode_seconds
l1_in,1.0,0.7742,25557032,1.0,0.0
l1_in,0.949947,0.0434,25127506,0.983193431850772,5.9
l1_in,0.899894,0.0032,24519507,0.9594035410684622,11.81
l1_in,0.849974,0.002,23505327,0.9197205293635036,17.47
l1_in,0.799921,0.002,22416970,0.8771351070812917,23.04
l1_in,0.749868,0.0002,21304284,0.8335977354490929,28.65
l1_in,0.699947,0.0018,20301064,0.7943435685333101,34.27
l1_in,0.649894,0.002,19338141,0.7566661496530583,39.79
l1_in,0.599974,0.002,17755139,0.6947261716462224,45.24
l1_in,0.549921,0.0006,16429423,0.6428533250652892,50.36
l1_in,0.499868,0.0018,14916710,0.583663627294437,55.24
l1_in,0.449947,0.001,13275146,0.5194322251504009,59.73
l1_in,0.399894,0.0014,12457592,0.48744282982468384,64.09
l1_in,0.349974,0.0014,11842477,0.4633745029548032,68.46
l1_in,0.299921,0.0014,10714634,0.41924406558633254,72.83
