method,density,top1,params,param_ratio,encode_seconds
l1_joint,1.0,0.7742,25557032,1.0,0.0
l1_joint,0.949947,0.2702,25233206,0.9873292798631703,6.22
l1_joint,0.899894,0.0188,24856792,0.9726008873017806,12.16
l1_joint,0.849974,0.0024,24457403,0.9569735249382636,18.14
l1_joint,0.799921,0.0016,23859071,0.9335618862158955,24.07
l1_joint,0.749868,0.001,22749090,0.8901303562948937,29.91
l1_joint,0.699947,0.001,21736936,0.850526618270854,35.37
l1_joint,0.649894,0.0008,20813133,0.8143798935651057,40.66
l1_joint,0.599974,0.0008,19993178,0.7822965514931468,45.91
l1_joint,0.549921,0.0006,19230735,0.7524635489754835,51.01
l1_joint,0.499868,0.002,18591374,0.727446520394074,56.3
l1_joint,0.449947,0.0018,18069310,0.7070191092612006,61.28
l1_joint,0.399894,0.0012,17226829,0.6740543659373279,66.24
l1_joint,0.349974,0.0012,14857342,0.5813406658488357,71.03
l1_joint,0.299921,0.0014,12563102,0.4915712434839852,75.45
