method,density,top1,params,param_ratio,encode_seconds
hope_evict,1.0,0.823,86567656,1.0,0.0
hope_evict,0.949978,0.8192,83733428,0.96726,270.8
hope_evict,0.899984,0.8062,80900737,0.934538,394.3
hope_evict,0.849989,0.8044,78068046,0.901815,435.0
hope_evict,0.799995,0.0172,75234587,0.869084,488.6
hope_evict,0.749973,0.0232,72400359,0.836344,577.1
hope_evict,0.650038,0.0242,66737283,0.770926,632.3
hope_evict,0.649984,0.0242,66734209,0.770891,632.3
hope_evict,0.599989,0.0132,63900750,0.73816,642.7
hope_evict,0.518826,0.0136,59301278,0.685028,646.5
hope_evict,0.453234,0.0056,55584044,0.642088,671.4
hope_evict,0.449978,0.0062,55399604,0.639957,677.0
hope_evict,0.396701,0.0034,52380168,0.605078,698.7
hope_evict,0.31722,0.0016,47875990,0.553047,720.4
hope_evict,0.248427,0.004,43977390,0.508012,724.3
