method,density,top1,params,param_ratio,encode_seconds
hope,1.0,0.823,86567656,1.0,0.0
hope,0.949978,0.8192,83733428,0.96726,202.1
hope,0.899984,0.8166,80900737,0.934538,316.4
hope,0.849989,0.7834,78068046,0.901815,379.0
hope,0.799995,0.6058,75235355,0.869093,482.3
hope,0.749973,0.4154,72401127,0.836353,573.5
hope,0.699978,0.2948,69568436,0.803631,666.8
hope,0.649984,0.2482,66735745,0.770909,752.3
hope,0.599989,0.1982,63903054,0.738186,801.6
hope,0.549995,0.1086,61070363,0.705464,864.6
hope,0.499973,0.0674,58236135,0.672724,922.9
hope,0.449978,0.0698,55403444,0.640002,963.5
hope,0.399984,0.0472,52570753,0.607279,1014.9
hope,0.349989,0.0202,49738062,0.574557,1073.0
hope,0.299995,0.015,46905371,0.541835,1117.7
