method,density,top1,params,param_ratio,encode_seconds
hope_no_evict,1.0,0.823,86567656,1.0,0.0
hope_no_evict,0.949978,0.8192,83733428,0.96726,269.8
hope_no_evict,0.899984,0.8062,80900737,0.934538,394.4
hope_no_evict,0.849989,0.8044,78068046,0.901815,435.8
hope_no_evict,0.799995,0.6324,75235355,0.869093,529.2
hope_no_evict,0.749973,0.4274,72401127,0.836353,601.5
hope_no_evict,0.699978,0.271,69568436,0.803631,668.4
hope_no_evict,0.649984,0.1942,66735745,0.770909,725.4
hope_no_evict,0.599989,0.1166,63903054,0.738186,776.2
hope_no_evict,0.549995,0.0878,61070363,0.705464,821.4
hope_no_evict,0.499973,0.0602,58236135,0.672724,840.8
hope_no_evict,0.449978,0.0528,55403444,0.640002,866.4
hope_no_evict,0.399984,0.0438,52570753,0.607279,908.6
hope_no_evict,0.349989,0.0206,49738062,0.574557,952.2
hope_no_evict,0.299995,0.0132,46905371,0.541835,982.1
