method,density,top1,params,param_ratio,encode_seconds
l1_in,1.0,0.823,86567656,1.0,0.0
l1_in,0.949978,0.158,83733428,0.96726,2.2
l1_in,0.899984,0.2444,80900737,0.934538,4.3
l1_in,0.849989,0.095,78068046,0.901815,6.4
l1_in,0.799995,0.0452,75235355,0.869093,8.6
l1_in,0.749973,0.0076,72401127,0.836353,10.8
l1_in,0.699978,0.003,69568436,0.803631,12.9
l1_in,0.649984,0.0034,66735745,0.770909,15.1
l1_in,0.599989,0.0022,63903054,0.738186,17.2
l1_in,0.549995,0.0022,61070363,0.705464,19.2
l1_in,0.499973,0.0018,58236135,0.672724,21.2
l1_in,0.449978,0.0012,55403444,0.640002,23.0
l1_in,0.399984,0.0016,52570753,0.607279,24.6
l1_in,0.349989,0.0012,49738062,0.574557,26.2
l1_in,0.299995,0.0002,46905371,0.541835,27.5
