method,density,top1,params,param_ratio,encode_seconds
l1_joint,1.0,0.823,86567656,1.0,0.0
l1_joint,0.949978,0.8232,83733428,0.96726,2.2
l1_joint,0.899984,0.2262,80900737,0.934538,4.5
l1_joint,0.849989,0.1468,78068046,0.901815,6.7
l1_joint,0.799995,0.0344,75235355,0.869093,8.8
l1_joint,0.749973,0.0098,72401127,0.836353,10.7
l1_joint,0.699978,0.0038,69568436,0.803631,12.3
l1_joint,0.649984,0.0024,66735745,0.770909,13.9
l1_joint,0.599989,0.0022,63903054,0.738186,15.4
l1_joint,0.549995,0.0014,61070363,0.705464,16.8
l1_joint,0.499973,0.0008,58236135,0.672724,18.5
l1_joint,0.449978,0.0016,55403444,0.640002,20.2
l1_joint,0.399984,0.001,52570753,0.607279,21.6
l1_joint,0.349989,0.0012,49738062,0.574557,23.2
l1_joint,0.299995,0.0018,46905371,0.541835,24.7
